x,y,z
2.488924,4.166197,14.141194
2.656652,4.469471,13.867789
2.837934,4.800219,13.616719
3.034162,5.160405,13.389834
3.246786,5.552097,13.189346
3.477317,5.977447,13.017895
3.727330,6.438647,12.878606
3.998462,6.937885,12.775166
4.292404,7.477266,12.711904
4.610891,8.058720,12.693874
4.955673,8.683881,12.726950
5.328494,9.353925,12.817909
5.731037,10.069363,12.974522
6.164870,10.829785,13.205613
6.631361,11.633542,13.521106
7.131579,12.477354,13.932005
7.666157,13.355851,14.450318
8.235126,14.261032,15.088856
8.837717,15.181671,15.860901
9.472112,16.102673,16.779656
10.135168,17.004450,17.857462
10.822097,17.862369,19.104693
11.526124,18.646404,20.528317
12.238152,19.321135,22.130103
12.946450,19.846291,23.904517
13.636434,20.178048,25.836453
14.290596,20.271298,27.899047
14.888666,20.083012,30.051962
15.408100,19.576672,32.240669
15.824957,18.727499,34.397311
16.115212,17.527852,36.443668
16.256476,15.991858,38.296487
16.230014,14.158094,39.874960
16.022822,12.089205,41.109488
15.629460,9.867803,41.950267
15.053295,7.588774,42.373878
14.306842,5.349144,42.386268
13.411073,3.237432,42.021261
12.393709,1.324656,41.334869
11.286803,-0.341275,40.396779
10.123995,-1.737063,39.281013
8.937890,-2.861781,38.057659
7.757922,-3.732106,36.787005
6.608920,-4.376474,35.516485
5.510380,-4.829468,34.280141
4.476395,-5.127233,33.099882
3.516033,-5.304251,31.987703
2.634004,-5.391418,30.948198
1.831462,-5.415159,29.980903
1.106800,-5.397287,29.082235
0.456391,-5.355292,28.246972
-0.124777,-5.302867,27.469278
-0.642586,-5.250500,26.743381
-1.103377,-5.206070,26.063963
-1.513647,-5.175371,25.426367
-1.879819,-5.162573,24.826667
-2.208095,-5.170600,24.261670
-2.504345,-5.201440,23.728864
-2.774055,-5.256390,23.226356
-3.022288,-5.336249,22.752802
-3.253684,-5.441472,22.307337
-3.472463,-5.572279,21.889523
-3.682445,-5.728740,21.499298
-3.887074,-5.910837,21.136941
-4.089450,-6.118501,20.803048
-4.292356,-6.351632,20.498513
-4.498283,-6.610106,20.224520
-4.709465,-6.893768,19.982541
-4.927896,-7.202410,19.774333
-5.155347,-7.535738,19.601945
-5.393386,-7.893330,19.467720
-5.643381,-8.274575,19.374298
-5.906500,-8.678611,19.324616
-6.183711,-9.104236,19.321895
-6.475764,-9.549823,19.369624
-6.783170,-10.013207,19.471525
-7.106173,-10.491576,19.631497
-7.444714,-10.981341,19.853540
-7.798376,-11.478008,20.141642
-8.166339,-11.976052,20.499629
-8.547311,-12.468797,20.930978
-8.939459,-12.948321,21.438565
-9.340346,-13.405394,22.024380
-9.746850,-13.829484,22.689173
-10.155114,-14.208827,23.432068
-10.560485,-14.530618,24.250135
-10.957498,-14.781316,25.137969
-11.339880,-14.947109,26.087285
-11.700603,-15.014538,27.086609
-12.031997,-14.971265,28.121091
-12.325923,-14.806983,29.172537
-12.574029,-14.514387,30.219700
-12.768065,-14.090137,31.238884
-12.900272,-13.535693,32.204885
-12.963814,-12.857894,33.092230
-12.953222,-12.069168,33.876644
-12.864817,-11.187262,34.536613
-12.697061,-10.234466,35.054857
-12.450802,-9.236362,35.419537
-12.129358,-8.220206,35.625017
-11.738443,-7.213138,35.672075
-11.285912,-6.240425,35.567530
-10.781363,-5.323956,35.323351
-10.235623,-4.481159,34.955390
-9.660176,-3.724420,34.481921
-9.066601,-3.061011,33.922189
-8.466042,-2.493460,33.295127
-7.868784,-2.020237,32.618354
-7.283929,-1.636627,31.907499
-6.719199,-1.335641,31.175843
-6.180843,-1.108893,30.434232
-5.673648,-0.947348,29.691191
-5.201018,-0.841923,28.953176
